product_code,name,vendor_code,color,purchase_price,cup_type,price,photo,sizes,stock
Н52,"Шкарпетки ""Трекінгові"" р.25, 29",---,один цвет,35,,58,,"25, 25, 25, 29",6
Н53,"Чорні жіночі шкарпетки укорочені ""Класик"", р.23-25",---,чорний,7.5,,20,,"23-25, 23-25, 23-25",5
Н54,"Шкарпетки жіночі серії ""Панда"", р.23-25",---,різні кольори,7.5,,20,,23-25,3
K6,"Колготки дитячі Конте-Кідз: Class, Bravo, Tip-Top. . Код: К6",---,разноцвет,53.1,,85,,"80-86 гол., 104-110 бел., 116-122 роз.леггинсы",5
K7,Дитячі колготки Gatta Happy School,---,чорний в звездочку,,,85,,116-122,3
K8,"Колготки Elizabeth 100DEN MICROFIBRE, Чорний, р.2, 3, 4, 5",#EL100MF,чорний,28.2,,50,,"ч, ч",5
K11,Колготки 20 den бікіні 004EL,#05883,чорний,16.3,,29,,4,3
K17,"Колготки Elizabeth 40 den BIKINI CHARM, Чорний, р.2, 3, 4",#EL40BC,чорний,16.6,,35,,4,3
K18,Колготки жіночі теплі 1600 den 2022KOL (прибл. 2-3 розмір),#09680,чорний,20,,100,,"1, 1",4
K19,"Колготки дитячі ""Ластівка"". Код: К19",#Nailali T2-1 92-98,різні кольори,33.4,,65,,"92-98 желт., 92-98 роз.",4
K20,"Лосини дитячі теплі, вік 3-7 років",#395,чорний в цвет.полоску,15,,30,,"1, 1, 1, 1, 1",7
K24,"Колготки жіночі Gabriella Julia 366 (20 den) темно-сірі, бежеві, р.4",---,,24,,90,,"4, 4",4
K26,"Колготки жіночі Gabriella Reni 286, чорні, нар. 1/2",---,,32,,90,,,3
K27,"Колготки жіночі Gabriella Puntina TRE (20 den) темно-сірі, нар. 2",---,,24,,90,,2,3
K29,"Колготки жіночі Gabriella Miss 105 (20 den) білі, нар. 2, 3, 4",---,,16,,90,,2,3
K31,"Колготки жіночі Gatta Gabby №6 (20 den) чорні, нар. 3",---,,28,,90,,3,3
K35,"Колготки жіночі Gabriella Bacara 477 (20 den), чорні, нар. 2, 3, 4",---,,22,,90,,4,3
K36,"Колготки жіночі Gatta Nadette №1 (20 den), чорні, нар. 2, 3, 4",---,,28,,90,,"2,3,4",5
K39,"Колготки жіночі Conte Verticale, чорні, нар. 4",---,,48.47,,150,,4,3
K41,"Дитячі колготки Gatta Alice, білі, нар. 116-126 (A)",---,,24,,85,,116-122,3
K42,"Дитячі штани Mona Nikola leggins, рожеві",---,,24,,70,,128-134,3
K44,"Колготки дитячі Gabriella Melange 751, колір графіт, р.110-122",---,,20.4,,85,,110-122 серый,3
