ID Товара,Артикул / Модель,Остаток,Цена,Путь к фото,Название UA,Название RU,
272,Т6,777,50.0,data/panties/Т6-2.png,"Стринги х/б &quot;Николетта&quot;, в цветочек","Стринги х/б &quot;Николетта&quot;, в цветочек",
273,Т6,777,50.0,data/panties/Т6-3.png,"Стринги х/б &quot;Николетта&quot;, клетка","Стринги х/б &quot;Николетта&quot;, клетка",
274,Т7,777,50.0,data/panties/Т7-1.png,"Стринги х/б &quot;Николетта&quot; (S, M, L, XL), в горошек","Стринги х/б &quot;Николетта&quot; (S, M, L, XL), в горошек",
275,Т7,777,50.0,data/panties/Т7-2.png,"Стринги х/б &quot;Николетта&quot; (S, M, L, XL), в полоску","Стринги х/б &quot;Николетта&quot; (S, M, L, XL), в полоску",
276,Т7,777,50.0,data/panties/Т7-3.png,"Стринги х/б &quot;Николетта&quot; (S, M, L, XL), голубые","Стринги х/б &quot;Николетта&quot; (S, M, L, XL), голубые",
772,Б147,777,90.0,data/2 - bras_bralets/Б101-150/Б147_1.jpg,"Бюст с атласной лентой, пуш-ап чашка 80B. Код: Б147","Бюст с атласной лентой, пуш-ап чашка 80B. Код: Б147",
770,Б149,777,90.0,data/2 - bras_bralets/Б101-150/Б149_1.jpg,"Синий бюстгальтер, пуш-ап чашка 80A. Код: Б149","Синий бюстгальтер, пуш-ап чашка 80A. Код: Б149",
771,Б148,777,90.0,data/2 - bras_bralets/Б101-150/Б148_2.jpg,"Бюст с пуш-ап чашкой A, кружево сверху. Код: Б148","Бюст с пуш-ап чашкой A, кружево сверху. Код: Б148",
740,Т100,777,25.0,data/panties/Т100.png,Бежевые ажурные стринги с выбитым узором,Бежевые ажурные стринги с выбитым узором,
281,Т3,777,50.0,data/panties/Т3-1.png,Женские х/б трусики Nicoletta &quot;Звёздочка&quot;. Код: Т3,Женские х/б трусики Nicoletta &quot;Звёздочка&quot;. Код: Т3,
282,Т3,777,50.0,data/panties/Т3-2.png,Женские х/б трусики Nicoletta &quot;Морские&quot;. Код: Т3,Женские х/б трусики Nicoletta &quot;Морские&quot;. Код: Т3,
283,Т3,777,50.0,data/panties/Т3-3.png,Женские х/б трусики Nicoletta &quot;в сердечко&quot;. Код: Т3,Женские х/б трусики Nicoletta &quot;в сердечко&quot;. Код: Т3,
